Component,Material,Thickness,,(Outer) Diameter,,Radius,,
,,(in),(mm),(in),(mm),(mm),,Notes
Urchin,Berylium & Polonium,0.2362,6.00,0.8,20.32,10.16,,
Core,Plutonium,2.82,71.63,3.62,91.948,45.974,,includes 5 thou silver/nickel plating
Tamper,Uranium,5.13,130.30,8.75,222.25,111.125,,
Shell,Boron Plastic,0.125,3.18,9,228.60,114.30,,
Pusher,Aluminium-Boron,4.75,120.65,18.5,469.90,234.95,,
Pusher Pad,Felt,0.03125,0.79,18.5625,471.4875,235.74375,,compressed thickness
Booster,Composition B,8.875,225.4250,36.3125,922.3375,461.16875,,
Booster Pad,Felt,0.03125,0.79,36.375,923.925,461.9625,,compressed thickness
Lens,Baratol & CompB,9,228.60,54.375,1381.125,690.5625,,
,,,,,,,,
Filler,Cork,0.4375,11.11,55.25,1403.35,701.675,,compressed thickness
Shell,Dural,1.5,38.10,58.25,1479.55,739.775,,
,,,,,,,,
Case,Steel,0.375,9.53,60.25,1530.35,765.175,,
,,,,,,,,
,,Compressed Sphere diameter:,,54.375,,,,
,,,Shell I.D.:,55.25,,,,
,,,,,,,,
http://www.cartage.org.lb/en/themes/Sciences/Chemistry/NuclearChemistry/NuclearWeapons/FirstChainReaction/FirstNuclWeapons,,,,,,,,
Tamper',,4.528,115,,,,,
Tamper'?,,4.5,114.3,,,,,
,,,,,,,,
Total Explosives',,,470,,,,,
Booster,,9,228.6,,,,,
Pad,,0.05,1.27,,,,,
Lens,,8.875,225.425,,,,,
Cork,,0.5,12.7,,,,,
,,,467.995,,,,,
Total Width',,,,,,,,
,,,,,,,,
Accuracy of Explosives: <1mm,,,,,,,,
Plug: 80kg,,,,,,,,
,,,,,,,,
JCM & RR Books,,,,,,,,
Urchin inside surfaces plated with Nickel and Gold and then Polonium,,,,,,,,
Urchin-Core (gold-filled) Air Gap:,,0.0005,0.0127,,,,,
Core-Plug (gold-filled) Air Gap:,,0.0005,0.0127,,,,,
Pusher hemis: few thou tolerance,,0.0003,0.00762,(gold foil shims),,,,
Air Gaps can cause problems if >:,,0.03,0.762,(blotter paper shims),,,,
Distance from Detonator to Slow Explosive:,,,100,,,,,
Explosives when fully compressed by Cork Liner:,,,,54.375,1381.125,,,
Boron Plastic Shell glued to Pusher prior to assembly (hemi's and plug),,,,,,,,
Dural Shell:,,,,,,,,
,five equitorial plates and two polar caps,,,,,,,
,"eight 3.0"" (76.2mm) cubes cast into all five equitorial plates",,,,,,,
,square attachement points on either side of the sphere -- four large bolts,,,,,,,
,inner diameter:,,,55.25,1403.35,,,
Cork Lining (compressed) thickness:,,,,0.4375,11.1125,,,
,amount of compression:,,,-0.0625,-1.5875,,,
,,,,,,,,
https://nuclearweaponarchive.org/Nwfaq/Nfaq8.html,,,,,,,,
Chapter 4:,,,,,,,,
Core Electroplated Silver Coating:,,0.005,0.127,"(Trinity used Silver, Fat Man used Nickel)",,,,
Total assembly:,,54.25,1377.95,,,,,
Explosive Lens Total Thickness:,,17.875,454.025,,,,,
Explosive Lenses Thickness:,,9,228.6,,,,,
Booster Blocks Thickness:,,8.875,225.425,,,,,
Pusher Thickness:,,4.75,120.65,,,,,
Dural Shell '1561': ,,,,,,,,
,"5x Equitorial Zone Plates and 2x Polar Caps, 90x Bolts",,,,,,,
,thickness:,1.5,38.1,,,,,
,I.D.,54.2520,1378,,,,,
,O.D.,57.2441,1454,,,,,
Steel Ballistic Case:,,,,,,,,
,thickness:,0.375,9.525,,,,,
,diameter:,60,1524,,,,,
Chapter 8:,,,,,,,,
Urchin,,0.2362,6,0.8,20,10,(cavity in Core: 21mm),
Gold Leaf,,,,,,,,
Core,,2.81,71.7,3.61,91.70,45.85,,
Silver/Nickel Plating,,0.005,0.127,3.62,91.948,45.974,,
Tamper,,5.13,130.302,8.75,222.25,111.125,,
Boron Shell,,0.125,3.175,9,228.60,114.30,,
Pusher,,4.75,120.65,18.5,469.90,234.95,,
Felt,,0.0625,1.59,18.625,473.08,236.54,,
Booster,,8.75,222.25,36.125,917.58,458.79,,
Felt,,0.0625,1.59,36.25,920.75,460.38,,
Lens,,9,228.60,54.25,1377.95,688.98,,
Cork (compressed),,0.4375,11.11,55.125,1400.18,700.09,,
,,,,,,,,
Cork (uncompressed),,0.5,12.70,56.1,1425.58,712.79,,
,,,,,,,,
Shell I.D.,,,,,,,,
Shell O.D.,,,,,,,,
,,,,,,,,
Case I.D.,,,,59.875,1521,760.5,,
Case O.D.,,0.375,9.0,60.25,1530,765,,
,,,,,,,,
Explosives Stack (1x pad),,17.875,454.025,17.8125,0.0625,(difference),,
,,,,452.4375,,,,
Explosives Stack (2x pad),,17.875,454.025,17.875,0.0000,(difference),,
,,,,454.025,,,,
JCM,,,,,,,,
Tamper diameter:,,8.75,222.25,,,,,
Boron Shell thick (brownish-black color):,,0.125,3.175,,,,,
Pusher diameter:,,18.5,469.9,,,,,
Boosters thick:,,8.875,225.425,,,,,
Lens thick:,,9,228.6,,,,,
Lens edge length:,,11.25,285.75,,,,,
Total Expl Thickness:,,18,457.2,,,,,
Compressed Diameter: ,,54.375,1381.125,,,,,
Cork Liner (compressed thickness):,,0.4375,11.1125,,,,,
Shell I.D.,,55.25,1403.35,,,,,
Shell Thickness:,,1,25.4,,,,,
,,,,,,,,
FatMan,,,,,,,,
,length,128.375,3260.725,,,,,
,diameter,60.25,1530.35,,,,,
Ballistic Case:,thickness,0.375,9.525,,,,,
Rubber Pressure Pads,,?,,,,,,
